,RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,From_OSMID,To_OSMID,Adj_Mat_id,WktGeom,street,fromSt,toSt,Direction
0,17759,Manhattan,2014,8,2,21,45,47,34526,42428068,42431019,75,POINT (-73.98141344921635 40.784007249005775),WEST END AV,W 78 ST,W 79 ST,NB
1,17759,Manhattan,2014,8,2,21,30,42,34526,42428068,42431019,75,POINT (-73.98141344921635 40.784007249005775),WEST END AV,W 78 ST,W 79 ST,NB
2,17759,Manhattan,2014,8,2,23,30,30,34526,42428068,42431019,75,POINT (-73.98141344921635 40.784007249005775),WEST END AV,W 78 ST,W 79 ST,NB
3,17759,Manhattan,2014,8,2,23,15,25,34526,42428068,42431019,75,POINT (-73.98141344921635 40.784007249005775),WEST END AV,W 78 ST,W 79 ST,NB
4,19692,Manhattan,2015,3,30,16,15,199,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
5,19692,Manhattan,2015,3,30,16,30,165,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
6,19692,Manhattan,2015,3,30,16,0,240,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
7,19692,Manhattan,2015,3,30,15,45,275,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
8,19692,Manhattan,2015,3,30,15,30,256,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
9,17754,Manhattan,2014,8,14,5,0,13,34505,42428634,42431004,81,POINT (-73.98326599299916 40.77930058711159),W 72 ST,WEST END AV,BROADWAY,WB
10,17754,Manhattan,2014,8,14,5,15,16,34505,42428634,42431004,81,POINT (-73.98326599299916 40.77930058711159),W 72 ST,WEST END AV,BROADWAY,WB
